# DRF ISO-8601 rendering, recorded from the Django app this replaced, which is gone; regenerating it is no longer possible and it does not change
2026-01-02T03:04:05+00:00	2026-01-02T03:04:05Z
2026-01-02T03:04:05.000001+00:00	2026-01-02T03:04:05.000001Z
2026-01-02T03:04:05.000010+00:00	2026-01-02T03:04:05.000010Z
2026-01-02T03:04:05.001000+00:00	2026-01-02T03:04:05.001000Z
2026-01-02T03:04:05.100000+00:00	2026-01-02T03:04:05.100000Z
2026-01-02T03:04:05.120000+00:00	2026-01-02T03:04:05.120000Z
2026-01-02T03:04:05.123456+00:00	2026-01-02T03:04:05.123456Z
2026-01-02T03:04:05.999999+00:00	2026-01-02T03:04:05.999999Z
2026-01-02T03:04:05+08:00	2026-01-02T03:04:05+08:00
2026-01-02T03:04:05.000001+08:00	2026-01-02T03:04:05.000001+08:00
2026-01-02T03:04:05.000010+08:00	2026-01-02T03:04:05.000010+08:00
2026-01-02T03:04:05.001000+08:00	2026-01-02T03:04:05.001000+08:00
2026-01-02T03:04:05.100000+08:00	2026-01-02T03:04:05.100000+08:00
2026-01-02T03:04:05.120000+08:00	2026-01-02T03:04:05.120000+08:00
2026-01-02T03:04:05.123456+08:00	2026-01-02T03:04:05.123456+08:00
2026-01-02T03:04:05.999999+08:00	2026-01-02T03:04:05.999999+08:00
2026-01-02T03:04:05-05:30	2026-01-02T03:04:05-05:30
2026-01-02T03:04:05.000001-05:30	2026-01-02T03:04:05.000001-05:30
2026-01-02T03:04:05.000010-05:30	2026-01-02T03:04:05.000010-05:30
2026-01-02T03:04:05.001000-05:30	2026-01-02T03:04:05.001000-05:30
2026-01-02T03:04:05.100000-05:30	2026-01-02T03:04:05.100000-05:30
2026-01-02T03:04:05.120000-05:30	2026-01-02T03:04:05.120000-05:30
2026-01-02T03:04:05.123456-05:30	2026-01-02T03:04:05.123456-05:30
2026-01-02T03:04:05.999999-05:30	2026-01-02T03:04:05.999999-05:30
