column	accounts.access_token text null=NO
column	accounts.access_token_expired_at timestamp with time zone null=YES
column	accounts.created_at timestamp with time zone null=NO
column	accounts.id uuid null=NO
column	accounts.id_token text null=NO
column	accounts.last_connected_at timestamp with time zone null=NO
column	accounts.metadata jsonb null=NO
column	accounts.provider character varying null=NO
column	accounts.provider_account_id character varying (255) null=NO
column	accounts.refresh_token text null=YES
column	accounts.refresh_token_expired_at timestamp with time zone null=YES
column	accounts.updated_at timestamp with time zone null=NO
column	accounts.user_id uuid null=NO
column	analytic_views.created_at timestamp with time zone null=NO
column	analytic_views.created_by_id uuid null=YES
column	analytic_views.deleted_at timestamp with time zone null=YES
column	analytic_views.description text null=NO
column	analytic_views.id uuid null=NO
column	analytic_views.name character varying (255) null=NO
column	analytic_views.query jsonb null=NO
column	analytic_views.query_dict jsonb null=NO
column	analytic_views.updated_at timestamp with time zone null=NO
column	analytic_views.updated_by_id uuid null=YES
column	analytic_views.workspace_id uuid null=NO
column	api_activity_logs.body text null=YES
column	api_activity_logs.created_at timestamp with time zone null=NO
column	api_activity_logs.created_by_id uuid null=YES
column	api_activity_logs.deleted_at timestamp with time zone null=YES
column	api_activity_logs.headers text null=YES
column	api_activity_logs.id uuid null=NO
column	api_activity_logs.ip_address inet null=YES
column	api_activity_logs.method character varying (10) null=NO
column	api_activity_logs.path character varying (255) null=NO
column	api_activity_logs.query_params text null=YES
column	api_activity_logs.response_body text null=YES
column	api_activity_logs.response_code integer numeric(32,0) null=NO
column	api_activity_logs.token_identifier character varying (255) null=NO
column	api_activity_logs.updated_at timestamp with time zone null=NO
column	api_activity_logs.updated_by_id uuid null=YES
column	api_activity_logs.user_agent character varying (512) null=YES
column	api_tokens.allowed_rate_limit character varying (255) null=NO
column	api_tokens.created_at timestamp with time zone null=NO
column	api_tokens.created_by_id uuid null=YES
column	api_tokens.deleted_at timestamp with time zone null=YES
column	api_tokens.description text null=NO
column	api_tokens.expired_at timestamp with time zone null=YES
column	api_tokens.id uuid null=NO
column	api_tokens.is_active boolean null=NO
column	api_tokens.is_service boolean null=NO
column	api_tokens.label character varying (255) null=NO
column	api_tokens.last_used timestamp with time zone null=YES
column	api_tokens.token character varying (255) null=NO
column	api_tokens.updated_at timestamp with time zone null=NO
column	api_tokens.updated_by_id uuid null=YES
column	api_tokens.user_id uuid null=NO
column	api_tokens.user_type smallint numeric(16,0) null=NO
column	api_tokens.workspace_id uuid null=YES
column	auth_group.id integer numeric(32,0) null=NO
column	auth_group.name character varying (150) null=NO
column	auth_group_permissions.group_id integer numeric(32,0) null=NO
column	auth_group_permissions.id bigint numeric(64,0) null=NO
column	auth_group_permissions.permission_id integer numeric(32,0) null=NO
column	auth_permission.codename character varying (100) null=NO
column	auth_permission.content_type_id integer numeric(32,0) null=NO
column	auth_permission.id integer numeric(32,0) null=NO
column	auth_permission.name character varying (255) null=NO
column	changelogs.created_at timestamp with time zone null=NO
column	changelogs.created_by_id uuid null=YES
column	changelogs.deleted_at timestamp with time zone null=YES
column	changelogs.description text null=NO
column	changelogs.id uuid null=NO
column	changelogs.is_release_candidate boolean null=NO
column	changelogs.release_date timestamp with time zone null=YES
column	changelogs.tags jsonb null=NO
column	changelogs.title character varying (255) null=NO
column	changelogs.updated_at timestamp with time zone null=NO
column	changelogs.updated_by_id uuid null=YES
column	changelogs.version character varying (255) null=NO
column	comment_reactions.actor_id uuid null=NO
column	comment_reactions.comment_id uuid null=NO
column	comment_reactions.created_at timestamp with time zone null=NO
column	comment_reactions.created_by_id uuid null=YES
column	comment_reactions.deleted_at timestamp with time zone null=YES
column	comment_reactions.id uuid null=NO
column	comment_reactions.project_id uuid null=NO
column	comment_reactions.reaction text null=NO
column	comment_reactions.updated_at timestamp with time zone null=NO
column	comment_reactions.updated_by_id uuid null=YES
column	comment_reactions.workspace_id uuid null=NO
column	cycle_issues.created_at timestamp with time zone null=NO
column	cycle_issues.created_by_id uuid null=YES
column	cycle_issues.cycle_id uuid null=NO
column	cycle_issues.deleted_at timestamp with time zone null=YES
column	cycle_issues.id uuid null=NO
column	cycle_issues.issue_id uuid null=NO
column	cycle_issues.project_id uuid null=NO
column	cycle_issues.updated_at timestamp with time zone null=NO
column	cycle_issues.updated_by_id uuid null=YES
column	cycle_issues.workspace_id uuid null=NO
column	cycle_user_properties.created_at timestamp with time zone null=NO
column	cycle_user_properties.created_by_id uuid null=YES
column	cycle_user_properties.cycle_id uuid null=NO
column	cycle_user_properties.deleted_at timestamp with time zone null=YES
column	cycle_user_properties.display_filters jsonb null=NO
column	cycle_user_properties.display_properties jsonb null=NO
column	cycle_user_properties.filters jsonb null=NO
column	cycle_user_properties.id uuid null=NO
column	cycle_user_properties.project_id uuid null=NO
column	cycle_user_properties.rich_filters jsonb null=NO
column	cycle_user_properties.updated_at timestamp with time zone null=NO
column	cycle_user_properties.updated_by_id uuid null=YES
column	cycle_user_properties.user_id uuid null=NO
column	cycle_user_properties.workspace_id uuid null=NO
column	cycles.archived_at timestamp with time zone null=YES
column	cycles.created_at timestamp with time zone null=NO
column	cycles.created_by_id uuid null=YES
column	cycles.deleted_at timestamp with time zone null=YES
column	cycles.description text null=NO
column	cycles.end_date timestamp with time zone null=YES
column	cycles.external_id character varying (255) null=YES
column	cycles.external_source character varying (255) null=YES
column	cycles.id uuid null=NO
column	cycles.logo_props jsonb null=NO
column	cycles.name character varying (255) null=NO
column	cycles.owned_by_id uuid null=NO
column	cycles.progress_snapshot jsonb null=NO
column	cycles.project_id uuid null=NO
column	cycles.sort_order double precision null=NO
column	cycles.start_date timestamp with time zone null=YES
column	cycles.timezone character varying (255) null=NO
column	cycles.updated_at timestamp with time zone null=NO
column	cycles.updated_by_id uuid null=YES
column	cycles.version integer numeric(32,0) null=NO
column	cycles.view_props jsonb null=NO
column	cycles.workspace_id uuid null=NO
column	deploy_boards.anchor character varying (255) null=NO
column	deploy_boards.created_at timestamp with time zone null=NO
column	deploy_boards.created_by_id uuid null=YES
column	deploy_boards.deleted_at timestamp with time zone null=YES
column	deploy_boards.entity_identifier uuid null=YES
column	deploy_boards.entity_name character varying (30) null=YES
column	deploy_boards.id uuid null=NO
column	deploy_boards.intake_id uuid null=YES
column	deploy_boards.is_activity_enabled boolean null=NO
column	deploy_boards.is_comments_enabled boolean null=NO
column	deploy_boards.is_disabled boolean null=NO
column	deploy_boards.is_reactions_enabled boolean null=NO
column	deploy_boards.is_votes_enabled boolean null=NO
column	deploy_boards.project_id uuid null=YES
column	deploy_boards.updated_at timestamp with time zone null=NO
column	deploy_boards.updated_by_id uuid null=YES
column	deploy_boards.view_props jsonb null=NO
column	deploy_boards.workspace_id uuid null=NO
column	description_versions.created_at timestamp with time zone null=NO
column	description_versions.created_by_id uuid null=YES
column	description_versions.deleted_at timestamp with time zone null=YES
column	description_versions.description_binary bytea null=YES
column	description_versions.description_html text null=NO
column	description_versions.description_id uuid null=NO
column	description_versions.description_json jsonb null=NO
column	description_versions.description_stripped text null=YES
column	description_versions.id uuid null=NO
column	description_versions.project_id uuid null=YES
column	description_versions.updated_at timestamp with time zone null=NO
column	description_versions.updated_by_id uuid null=YES
column	description_versions.workspace_id uuid null=NO
column	descriptions.created_at timestamp with time zone null=NO
column	descriptions.created_by_id uuid null=YES
column	descriptions.deleted_at timestamp with time zone null=YES
column	descriptions.description_binary bytea null=YES
column	descriptions.description_html text null=NO
column	descriptions.description_json jsonb null=NO
column	descriptions.description_stripped text null=YES
column	descriptions.id uuid null=NO
column	descriptions.project_id uuid null=YES
column	descriptions.updated_at timestamp with time zone null=NO
column	descriptions.updated_by_id uuid null=YES
column	descriptions.workspace_id uuid null=NO
column	device_sessions.created_at timestamp with time zone null=NO
column	device_sessions.created_by_id uuid null=YES
column	device_sessions.deleted_at timestamp with time zone null=YES
column	device_sessions.device_id uuid null=NO
column	device_sessions.end_time timestamp with time zone null=YES
column	device_sessions.id uuid null=NO
column	device_sessions.ip_address inet null=YES
column	device_sessions.is_active boolean null=NO
column	device_sessions.session_id character varying (128) null=NO
column	device_sessions.start_time timestamp with time zone null=NO
column	device_sessions.updated_at timestamp with time zone null=NO
column	device_sessions.updated_by_id uuid null=YES
column	device_sessions.user_agent character varying (255) null=YES
column	devices.created_at timestamp with time zone null=NO
column	devices.created_by_id uuid null=YES
column	devices.deleted_at timestamp with time zone null=YES
column	devices.device_id character varying (255) null=YES
column	devices.device_type character varying (255) null=NO
column	devices.id uuid null=NO
column	devices.is_active boolean null=NO
column	devices.push_token character varying (255) null=YES
column	devices.updated_at timestamp with time zone null=NO
column	devices.updated_by_id uuid null=YES
column	devices.user_id uuid null=NO
column	django_celery_beat_clockedschedule.clocked_time timestamp with time zone null=NO
column	django_celery_beat_clockedschedule.id integer numeric(32,0) null=NO
column	django_celery_beat_crontabschedule.day_of_month character varying (124) null=NO
column	django_celery_beat_crontabschedule.day_of_week character varying (64) null=NO
column	django_celery_beat_crontabschedule.hour character varying (96) null=NO
column	django_celery_beat_crontabschedule.id integer numeric(32,0) null=NO
column	django_celery_beat_crontabschedule.minute character varying (240) null=NO
column	django_celery_beat_crontabschedule.month_of_year character varying (64) null=NO
column	django_celery_beat_crontabschedule.timezone character varying (63) null=NO
column	django_celery_beat_intervalschedule.every integer numeric(32,0) null=NO
column	django_celery_beat_intervalschedule.id integer numeric(32,0) null=NO
column	django_celery_beat_intervalschedule.period character varying (24) null=NO
column	django_celery_beat_periodictask.args text null=NO
column	django_celery_beat_periodictask.clocked_id integer numeric(32,0) null=YES
column	django_celery_beat_periodictask.crontab_id integer numeric(32,0) null=YES
column	django_celery_beat_periodictask.date_changed timestamp with time zone null=NO
column	django_celery_beat_periodictask.description text null=NO
column	django_celery_beat_periodictask.enabled boolean null=NO
column	django_celery_beat_periodictask.exchange character varying (200) null=YES
column	django_celery_beat_periodictask.expire_seconds integer numeric(32,0) null=YES
column	django_celery_beat_periodictask.expires timestamp with time zone null=YES
column	django_celery_beat_periodictask.headers text null=NO
column	django_celery_beat_periodictask.id integer numeric(32,0) null=NO
column	django_celery_beat_periodictask.interval_id integer numeric(32,0) null=YES
column	django_celery_beat_periodictask.kwargs text null=NO
column	django_celery_beat_periodictask.last_run_at timestamp with time zone null=YES
