# plane.utils.issue_filters.issue_filters, recorded from the Django app this replaced, which is gone; regenerating it is no longer possible and it does not changewith the clock frozen to 2026-06-15. Columns: method, prefix, params json, filter json. Do not edit by hand.
GET		{"state": ""}	{}
GET	issue__	{"state": ""}	{}
POST		{"state": ""}	{}
POST	issue__	{"state": ""}	{}
GET		{"state": "null"}	{}
GET	issue__	{"state": "null"}	{}
POST		{"state": "null"}	{}
POST	issue__	{"state": "null"}	{}
GET		{"state": "None"}	{}
GET	issue__	{"state": "None"}	{}
POST		{"state": "None"}	{"state__in": "None"}
POST	issue__	{"state": "None"}	{"issue__state__in": "None"}
GET		{"state": "00000000-0000-0000-0000-000000000001"}	{"state__in": "[00000000-0000-0000-0000-000000000001]"}
GET	issue__	{"state": "00000000-0000-0000-0000-000000000001"}	{"issue__state__in": "[00000000-0000-0000-0000-000000000001]"}
POST		{"state": "00000000-0000-0000-0000-000000000001"}	{"state__in": "00000000-0000-0000-0000-000000000001"}
POST	issue__	{"state": "00000000-0000-0000-0000-000000000001"}	{"issue__state__in": "00000000-0000-0000-0000-000000000001"}
GET		{"state": "00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000002"}	{"state__in": "[00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000002]"}
GET	issue__	{"state": "00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000002"}	{"issue__state__in": "[00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000002]"}
POST		{"state": "00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000002"}	{"state__in": "00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000002"}
POST	issue__	{"state": "00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000002"}	{"issue__state__in": "00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000002"}
GET		{"state": "not-a-uuid"}	{}
GET	issue__	{"state": "not-a-uuid"}	{}
POST		{"state": "not-a-uuid"}	{"state__in": "not-a-uuid"}
POST	issue__	{"state": "not-a-uuid"}	{"issue__state__in": "not-a-uuid"}
GET		{"state": "None,00000000-0000-0000-0000-000000000001"}	{"state__in": "[00000000-0000-0000-0000-000000000001]"}
GET	issue__	{"state": "None,00000000-0000-0000-0000-000000000001"}	{"issue__state__in": "[00000000-0000-0000-0000-000000000001]"}
POST		{"state": "None,00000000-0000-0000-0000-000000000001"}	{"state__in": "None,00000000-0000-0000-0000-000000000001"}
POST	issue__	{"state": "None,00000000-0000-0000-0000-000000000001"}	{"issue__state__in": "None,00000000-0000-0000-0000-000000000001"}
GET		{"state": "00000000-0000-0000-0000-000000000001,null"}	{"state__in": "[00000000-0000-0000-0000-000000000001]"}
GET	issue__	{"state": "00000000-0000-0000-0000-000000000001,null"}	{"issue__state__in": "[00000000-0000-0000-0000-000000000001]"}
POST		{"state": "00000000-0000-0000-0000-000000000001,null"}	{"state__in": "00000000-0000-0000-0000-000000000001,null"}
POST	issue__	{"state": "00000000-0000-0000-0000-000000000001,null"}	{"issue__state__in": "00000000-0000-0000-0000-000000000001,null"}
GET		{"state": ","}	{}
GET	issue__	{"state": ","}	{}
POST		{"state": ","}	{"state__in": ","}
POST	issue__	{"state": ","}	{"issue__state__in": ","}
GET		{"state_group": ""}	{}
GET	issue__	{"state_group": ""}	{}
POST		{"state_group": ""}	{}
POST	issue__	{"state_group": ""}	{}
GET		{"state_group": "null"}	{}
GET	issue__	{"state_group": "null"}	{}
POST		{"state_group": "null"}	{}
POST	issue__	{"state_group": "null"}	{}
GET		{"state_group": "None"}	{"state__group__in": "[None]"}
GET	issue__	{"state_group": "None"}	{"issue__state__group__in": "[None]"}
POST		{"state_group": "None"}	{"state__group__in": "None"}
POST	issue__	{"state_group": "None"}	{"issue__state__group__in": "None"}
GET		{"state_group": "00000000-0000-0000-0000-000000000001"}	{"state__group__in": "[00000000-0000-0000-0000-000000000001]"}
GET	issue__	{"state_group": "00000000-0000-0000-0000-000000000001"}	{"issue__state__group__in": "[00000000-0000-0000-0000-000000000001]"}
POST		{"state_group": "00000000-0000-0000-0000-000000000001"}	{"state__group__in": "00000000-0000-0000-0000-000000000001"}
POST	issue__	{"state_group": "00000000-0000-0000-0000-000000000001"}	{"issue__state__group__in": "00000000-0000-0000-0000-000000000001"}
GET		{"state_group": "00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000002"}	{"state__group__in": "[00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000002]"}
GET	issue__	{"state_group": "00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000002"}	{"issue__state__group__in": "[00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000002]"}
POST		{"state_group": "00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000002"}	{"state__group__in": "00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000002"}
POST	issue__	{"state_group": "00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000002"}	{"issue__state__group__in": "00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000002"}
GET		{"state_group": "not-a-uuid"}	{"state__group__in": "[not-a-uuid]"}
GET	issue__	{"state_group": "not-a-uuid"}	{"issue__state__group__in": "[not-a-uuid]"}
POST		{"state_group": "not-a-uuid"}	{"state__group__in": "not-a-uuid"}
POST	issue__	{"state_group": "not-a-uuid"}	{"issue__state__group__in": "not-a-uuid"}
GET		{"state_group": "None,00000000-0000-0000-0000-000000000001"}	{"state__group__in": "[None,00000000-0000-0000-0000-000000000001]"}
