# GroupedOffsetPaginator, recorded from the Django app this replaced, which is gone; regenerating it is no longer possible and it does not changeRows are either an offset case or a grouping case. Do not edit by hand.
offset	0	0	1	0	2
offset	0	0	10	0	11
offset	0	0	50	0	51
offset	0	1	1	0	2
offset	0	1	10	0	2
offset	0	1	50	0	2
offset	0	10	1	0	11
offset	0	10	10	0	11
offset	0	10	50	0	11
offset	0	50	1	0	51
offset	0	50	10	0	51
offset	0	50	50	0	51
offset	1	0	1	0	2
offset	1	0	10	0	11
offset	1	0	50	0	51
offset	1	1	1	1	3
offset	1	1	10	1	3
offset	1	1	50	1	3
offset	1	10	1	10	21
offset	1	10	10	10	21
offset	1	10	50	10	21
offset	1	50	1	50	101
offset	1	50	10	50	101
offset	1	50	50	50	101
offset	2	0	1	0	2
offset	2	0	10	0	11
offset	2	0	50	0	51
offset	2	1	1	2	4
offset	2	1	10	2	4
offset	2	1	50	2	4
offset	2	10	1	20	31
offset	2	10	10	20	31
offset	2	10	50	20	31
offset	2	50	1	100	151
offset	2	50	10	100	151
offset	2	50	50	100	151
offset	7	0	1	0	2
offset	7	0	10	0	11
offset	7	0	50	0	51
offset	7	1	1	7	9
offset	7	1	10	7	9
offset	7	1	50	7	9
offset	7	10	1	70	81
offset	7	10	10	70	81
offset	7	10	50	70	81
offset	7	50	1	350	401
offset	7	50	10	350	401
offset	7	50	50	350	401
group	labels__id	[{"id": "id-1", "labels__id": "group-1"}, {"id": "id-2", "labels__id": "group-1"}, {"id": "id-2", "labels__id": "group-2"}, {"id": "id-3", "labels__id": null}]	{"None": 9, "group-1": 1, "group-2": 2, "group-3": 3}	{"None": {"results": [{"id": "id-3", "label_ids": [], "labels__id": null}], "total_results": 9}, "group-1": {"results": [{"id": "id-1", "label_ids": ["group-1"], "labels__id": "group-1"}, {"id": "id-2", "label_ids": ["group-1", "group-2"], "labels__id": "group-1"}], "total_results": 1}, "group-2": {"results": [{"id": "id-2", "label_ids": ["group-1", "group-2"], "labels__id": "group-1"}], "total_results": 2}}
group	labels__id	[]	{"None": 9, "group-1": 1, "group-2": 2, "group-3": 3}	{}
group	labels__id	[{"id": "id-1", "labels__id": "group-1"}]	{"None": 9, "group-1": 1, "group-2": 2, "group-3": 3}	{"group-1": {"results": [{"id": "id-1", "label_ids": ["group-1"], "labels__id": "group-1"}], "total_results": 1}}
group	assignees__id	[{"assignees__id": "group-1", "id": "id-1"}, {"assignees__id": "group-1", "id": "id-2"}, {"assignees__id": "group-2", "id": "id-2"}, {"assignees__id": null, "id": "id-3"}]	{"None": 9, "group-1": 1, "group-2": 2, "group-3": 3}	{"None": {"results": [{"assignee_ids": [], "assignees__id": null, "id": "id-3"}], "total_results": 9}, "group-1": {"results": [{"assignee_ids": ["group-1"], "assignees__id": "group-1", "id": "id-1"}, {"assignee_ids": ["group-1", "group-2"], "assignees__id": "group-1", "id": "id-2"}], "total_results": 1}, "group-2": {"results": [{"assignee_ids": ["group-1", "group-2"], "assignees__id": "group-1", "id": "id-2"}], "total_results": 2}}
group	assignees__id	[]	{"None": 9, "group-1": 1, "group-2": 2, "group-3": 3}	{}
group	assignees__id	[{"assignees__id": "group-1", "id": "id-1"}]	{"None": 9, "group-1": 1, "group-2": 2, "group-3": 3}	{"group-1": {"results": [{"assignee_ids": ["group-1"], "assignees__id": "group-1", "id": "id-1"}], "total_results": 1}}
group	issue_module__module_id	[{"id": "id-1", "issue_module__module_id": "group-1"}, {"id": "id-2", "issue_module__module_id": "group-1"}, {"id": "id-2", "issue_module__module_id": "group-2"}, {"id": "id-3", "issue_module__module_id": null}]	{"None": 9, "group-1": 1, "group-2": 2, "group-3": 3}	{"None": {"results": [{"id": "id-3", "issue_module__module_id": null, "module_ids": []}], "total_results": 9}, "group-1": {"results": [{"id": "id-1", "issue_module__module_id": "group-1", "module_ids": ["group-1"]}, {"id": "id-2", "issue_module__module_id": "group-1", "module_ids": ["group-1", "group-2"]}], "total_results": 1}, "group-2": {"results": [{"id": "id-2", "issue_module__module_id": "group-1", "module_ids": ["group-1", "group-2"]}], "total_results": 2}}
group	issue_module__module_id	[]	{"None": 9, "group-1": 1, "group-2": 2, "group-3": 3}	{}
group	issue_module__module_id	[{"id": "id-1", "issue_module__module_id": "group-1"}]	{"None": 9, "group-1": 1, "group-2": 2, "group-3": 3}	{"group-1": {"results": [{"id": "id-1", "issue_module__module_id": "group-1", "module_ids": ["group-1"]}], "total_results": 1}}
group	state_id	[{"id": "id-1", "state_id": "group-1"}, {"id": "id-2", "state_id": "group-1"}, {"id": "id-2", "state_id": "group-2"}, {"id": "id-3", "state_id": null}]	{"None": 9, "group-1": 1, "group-2": 2, "group-3": 3}	{"None": {"results": [{"id": "id-3", "state_id": null}], "total_results": 9}, "group-1": {"results": [{"id": "id-1", "state_id": "group-1"}, {"id": "id-2", "state_id": "group-1"}], "total_results": 1}, "group-2": {"results": [{"id": "id-2", "state_id": "group-2"}], "total_results": 2}, "group-3": {"results": [], "total_results": 3}}
