# convert_uuid_to_integer, the advisory lock key Issue.save takes on the project. Both implementations must agree or a concurrent create could hand out a sequence number twice.
00000000-0000-0000-0000-000000000001	8845554376707389133
00000000-0000-0000-0000-000000000002	-8010302150610159826
00000000-0000-0000-0000-000000000003	-4143540615147784046
00000000-0000-0000-0000-000000000004	-3866957199874956917
00000000-0000-0000-0000-000000000005	-8069612544774490932
00000000-0000-0000-0000-000080000000	2354624279194186392
00000000-0000-0000-8000-000000000000	2600603543308933827
01000000-0000-0000-0000-000000000000	-6241444111399606382
01234567-89ab-cdef-0123-456789abcdef	-6756243403469445091
ffffffff-ffff-ffff-ffff-ffffffffffff	1411960639344678146
