# global_paginator.paginate arithmetic. Columns: size:page:offset total -> start end prev cursor next prev_results next_results total_results total_pages
1:0:0	0	0	0	1:-1:0	1:0:0	-	0	0	0	0
1:1:0	0	1	0	1:0:0	1:1:0	-	1	0	0	0
1:2:0	0	2	0	1:1:0	1:2:0	-	1	0	0	0
1:5:0	0	5	0	1:4:0	1:5:0	-	1	0	0	0
1:100:0	0	100	0	1:99:0	1:100:0	-	1	0	0	0
5:0:0	0	0	0	5:-1:0	5:0:0	-	0	0	0	0
5:1:0	0	5	0	5:0:0	5:1:0	-	1	0	0	0
5:2:0	0	10	0	5:1:0	5:2:0	-	1	0	0	0
5:5:0	0	25	0	5:4:0	5:5:0	-	1	0	0	0
5:100:0	0	500	0	5:99:0	5:100:0	-	1	0	0	0
10:0:0	0	0	0	10:-1:0	10:0:0	-	0	0	0	0
10:1:0	0	10	0	10:0:0	10:1:0	-	1	0	0	0
10:2:0	0	20	0	10:1:0	10:2:0	-	1	0	0	0
10:5:0	0	50	0	10:4:0	10:5:0	-	1	0	0	0
10:100:0	0	1000	0	10:99:0	10:100:0	-	1	0	0	0
1000:0:0	0	0	0	1000:-1:0	1000:0:0	-	0	0	0	0
1000:1:0	0	1000	0	1000:0:0	1000:1:0	-	1	0	0	0
1000:2:0	0	2000	0	1000:1:0	1000:2:0	-	1	0	0	0
1000:5:0	0	5000	0	1000:4:0	1000:5:0	-	1	0	0	0
1000:100:0	0	100000	0	1000:99:0	1000:100:0	-	1	0	0	0
2000:0:0	0	0	0	1000:-1:0	1000:0:0	-	0	0	0	0
2000:1:0	0	1000	0	1000:0:0	1000:1:0	-	1	0	0	0
2000:2:0	0	2000	0	1000:1:0	1000:2:0	-	1	0	0	0
2000:5:0	0	5000	0	1000:4:0	1000:5:0	-	1	0	0	0
2000:100:0	0	100000	0	1000:99:0	1000:100:0	-	1	0	0	0
1:0:0	1	0	1	1:-1:0	1:0:0	-	0	0	1	1
1:1:0	1	1	1	1:0:0	1:1:0	-	1	0	1	1
1:2:0	1	2	1	1:1:0	1:2:0	-	1	0	1	1
1:5:0	1	5	1	1:4:0	1:5:0	-	1	0	1	1
1:100:0	1	100	1	1:99:0	1:100:0	-	1	0	1	1
5:0:0	1	0	1	5:-1:0	5:0:0	-	0	0	1	1
5:1:0	1	5	1	5:0:0	5:1:0	-	1	0	1	1
5:2:0	1	10	1	5:1:0	5:2:0	-	1	0	1	1
5:5:0	1	25	1	5:4:0	5:5:0	-	1	0	1	1
5:100:0	1	500	1	5:99:0	5:100:0	-	1	0	1	1
10:0:0	1	0	1	10:-1:0	10:0:0	-	0	0	1	1
