# OffsetPaginator, generated by apps/api-go/tools/generate_offset_paginator_fixture.py. Columns: per_page cursor_value cursor_offset total -> offset stop returned next_cursor prev_cursor next_page_results prev_page_results total_count total_pages. Do not edit by hand.
1	1	0	0	0	2	0	1:1:0	1:-1:1	0	0	0	0
1	1	1	0	1	3	0	1:2:0	1:0:1	0	1	0	0
1	1	2	0	2	4	0	1:3:0	1:1:1	0	1	0	0
1	1	5	0	5	7	0	1:6:0	1:4:1	0	1	0	0
1	1	40	0	40	42	0	1:41:0	1:39:1	0	1	0	0
10	10	0	0	0	11	0	10:1:0	10:-1:1	0	0	0	0
10	10	1	0	10	21	0	10:2:0	10:0:1	0	1	0	0
10	10	2	0	20	31	0	10:3:0	10:1:1	0	1	0	0
10	10	5	0	50	61	0	10:6:0	10:4:1	0	1	0	0
10	10	40	0	400	411	0	10:41:0	10:39:1	0	1	0	0
25	25	0	0	0	26	0	25:1:0	25:-1:1	0	0	0	0
25	25	1	0	25	51	0	25:2:0	25:0:1	0	1	0	0
25	25	2	0	50	76	0	25:3:0	25:1:1	0	1	0	0
25	25	5	0	125	151	0	25:6:0	25:4:1	0	1	0	0
25	25	40	0	1000	1026	0	25:41:0	25:39:1	0	1	0	0
1000	1000	0	0	0	1001	0	1000:1:0	1000:-1:1	0	0	0	0
1000	1000	1	0	1000	2001	0	1000:2:0	1000:0:1	0	1	0	0
1000	1000	2	0	2000	3001	0	1000:3:0	1000:1:1	0	1	0	0
1000	1000	5	0	5000	6001	0	1000:6:0	1000:4:1	0	1	0	0
1000	1000	40	0	40000	41001	0	1000:41:0	1000:39:1	0	1	0	0
2000	2000	0	0	0	1001	0	1000:1:0	1000:-1:1	0	0	0	0
2000	2000	1	0	1000	2001	0	1000:2:0	1000:0:1	0	1	0	0
2000	2000	2	0	2000	3001	0	1000:3:0	1000:1:1	0	1	0	0
2000	2000	5	0	5000	6001	0	1000:6:0	1000:4:1	0	1	0	0
2000	2000	40	0	40000	41001	0	1000:41:0	1000:39:1	0	1	0	0
1	1	0	1	0	2	1	1:1:0	1:-1:1	0	0	1	1
1	1	1	1	1	3	0	1:2:0	1:0:1	0	1	1	1
1	1	2	1	2	4	0	1:3:0	1:1:1	0	1	1	1
1	1	5	1	5	7	0	1:6:0	1:4:1	0	1	1	1
1	1	40	1	40	42	0	1:41:0	1:39:1	0	1	1	1
10	10	0	1	0	11	1	10:1:0	10:-1:1	0	0	1	1
10	10	1	1	10	21	0	10:2:0	10:0:1	0	1	1	1
10	10	2	1	20	31	0	10:3:0	10:1:1	0	1	1	1
10	10	5	1	50	61	0	10:6:0	10:4:1	0	1	1	1
10	10	40	1	400	411	0	10:41:0	10:39:1	0	1	1	1
25	25	0	1	0	26	1	25:1:0	25:-1:1	0	0	1	1
25	25	1	1	25	51	0	25:2:0	25:0:1	0	1	1	1
25	25	2	1	50	76	0	25:3:0	25:1:1	0	1	1	1
25	25	5	1	125	151	0	25:6:0	25:4:1	0	1	1	1
25	25	40	1	1000	1026	0	25:41:0	25:39:1	0	1	1	1
1000	1000	0	1	0	1001	1	1000:1:0	1000:-1:1	0	0	1	1
1000	1000	1	1	1000	2001	0	1000:2:0	1000:0:1	0	1	1	1
1000	1000	2	1	2000	3001	0	1000:3:0	1000:1:1	0	1	1	1
1000	1000	5	1	5000	6001	0	1000:6:0	1000:4:1	0	1	1	1
1000	1000	40	1	40000	41001	0	1000:41:0	1000:39:1	0	1	1	1
2000	2000	0	1	0	1001	1	1000:1:0	1000:-1:1	0	0	1	1
2000	2000	1	1	1000	2001	0	1000:2:0	1000:0:1	0	1	1	1
2000	2000	2	1	2000	3001	0	1000:3:0	1000:1:1	0	1	1	1
2000	2000	5	1	5000	6001	0	1000:6:0	1000:4:1	0	1	1	1
2000	2000	40	1	40000	41001	0	1000:41:0	1000:39:1	0	1	1	1
1	1	0	9	0	2	1	1:1:0	1:-1:1	1	0	9	9
1	1	1	9	1	3	1	1:2:0	1:0:1	1	1	9	9
1	1	2	9	2	4	1	1:3:0	1:1:1	1	1	9	9
1	1	5	9	5	7	1	1:6:0	1:4:1	1	1	9	9
1	1	40	9	40	42	0	1:41:0	1:39:1	0	1	9	9
10	10	0	9	0	11	9	10:1:0	10:-1:1	0	0	9	1
10	10	1	9	10	21	0	10:2:0	10:0:1	0	1	9	1
10	10	2	9	20	31	0	10:3:0	10:1:1	0	1	9	1
10	10	5	9	50	61	0	10:6:0	10:4:1	0	1	9	1
10	10	40	9	400	411	0	10:41:0	10:39:1	0	1	9	1
25	25	0	9	0	26	9	25:1:0	25:-1:1	0	0	9	1
25	25	1	9	25	51	0	25:2:0	25:0:1	0	1	9	1
25	25	2	9	50	76	0	25:3:0	25:1:1	0	1	9	1
25	25	5	9	125	151	0	25:6:0	25:4:1	0	1	9	1
25	25	40	9	1000	1026	0	25:41:0	25:39:1	0	1	9	1
1000	1000	0	9	0	1001	9	1000:1:0	1000:-1:1	0	0	9	1
1000	1000	1	9	1000	2001	0	1000:2:0	1000:0:1	0	1	9	1
1000	1000	2	9	2000	3001	0	1000:3:0	1000:1:1	0	1	9	1
1000	1000	5	9	5000	6001	0	1000:6:0	1000:4:1	0	1	9	1
1000	1000	40	9	40000	41001	0	1000:41:0	1000:39:1	0	1	9	1
2000	2000	0	9	0	1001	9	1000:1:0	1000:-1:1	0	0	9	1
2000	2000	1	9	1000	2001	0	1000:2:0	1000:0:1	0	1	9	1
2000	2000	2	9	2000	3001	0	1000:3:0	1000:1:1	0	1	9	1
2000	2000	5	9	5000	6001	0	1000:6:0	1000:4:1	0	1	9	1
2000	2000	40	9	40000	41001	0	1000:41:0	1000:39:1	0	1	9	1
1	1	0	10	0	2	1	1:1:0	1:-1:1	1	0	10	10
1	1	1	10	1	3	1	1:2:0	1:0:1	1	1	10	10
1	1	2	10	2	4	1	1:3:0	1:1:1	1	1	10	10
1	1	5	10	5	7	1	1:6:0	1:4:1	1	1	10	10
1	1	40	10	40	42	0	1:41:0	1:39:1	0	1	10	10
10	10	0	10	0	11	10	10:1:0	10:-1:1	0	0	10	1
